Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
34,Garret Anderson*\anderga01,31,ANA,AL,159,673,638,80,201,49,4,29,116,6,3,31,83,0.315,0.345,0.541,0.885,131,345,15,0,0,4,10,*7D
1043,Tim Salmon\salmoti01,34,ANA,AL,148,621,528,78,145,35,4,19,72,3,1,77,93,0.275,0.374,0.464,0.838,122,245,12,10,0,6,3,9D
1124,Scott Spiezio#\spiezsc01,30,ANA,AL,158,581,521,69,138,36,7,16,83,6,3,46,66,0.265,0.326,0.453,0.779,105,236,12,5,2,7,8,*35/97
318,David Eckstein\eckstda01,28,ANA,AL,120,517,452,59,114,22,1,3,31,16,5,36,45,0.252,0.325,0.325,0.651,75,147,9,15,10,4,0,*6/D
599,Adam Kennedy*\kennead01,27,ANA,AL,143,510,449,71,121,17,1,13,49,22,9,45,73,0.269,0.344,0.399,0.743,98,179,7,9,2,5,4,*4/D
797,Bengie Molina\molinbe01,28,ANA,AL,119,430,409,37,115,24,0,14,71,1,1,13,31,0.281,0.304,0.443,0.746,96,181,17,2,2,4,2,*2
266,Jeff DaVanon#\davanje02,29,ANA,AL,123,382,330,56,93,16,1,12,43,17,5,42,59,0.282,0.36,0.445,0.805,113,147,6,1,4,5,0,*98/7D
413,Troy Glaus\glaustr01,26,ANA,AL,91,367,319,53,79,17,2,16,50,7,2,46,73,0.248,0.343,0.464,0.807,113,148,8,1,0,1,4,5/D
1303,Shawn Wooten\wootesh01,30,ANA,AL,98,300,272,25,66,8,0,7,32,0,4,24,45,0.243,0.303,0.349,0.653,74,95,7,1,0,3,5,3D25
329,Darin Erstad*\erstada01,29,ANA,AL,67,284,258,35,65,7,1,4,17,9,1,18,40,0.252,0.309,0.333,0.642,72,86,8,4,2,2,1,8
873,Eric Owens\owenser01,32,ANA,AL,111,257,241,29,65,6,0,1,20,11,8,10,24,0.27,0.3,0.307,0.607,63,74,4,1,4,1,0,897/D
351,Chone Figgins#\figgich01,25,ANA,AL,71,270,240,34,71,9,4,0,27,13,7,20,38,0.296,0.345,0.367,0.711,90,88,1,0,6,4,0,84/6D7
375,Brad Fullmer*\fullmbr01,28,ANA,AL,63,235,206,32,63,9,2,9,35,5,4,26,31,0.306,0.387,0.5,0.887,135,103,4,2,0,1,4,D3
400,Benji Gil\gilbe01,30,ANA,AL,62,135,125,12,24,5,1,1,9,5,1,4,33,0.192,0.214,0.272,0.486,29,34,5,0,4,2,1,46/35D
799,Jose Molina\molinjo01,28,ANA,AL,53,123,114,12,21,4,0,0,6,0,0,1,26,0.184,0.21,0.219,0.429,15,25,1,3,4,1,0,2
31,Alfredo Amezaga#\amezaal01,25,ANA,AL,37,120,105,15,22,3,2,2,7,2,2,9,23,0.21,0.278,0.333,0.612,62,35,2,1,5,0,0,65/D
952,Robb Quinlan\quinlro01,26,ANA,AL,38,101,94,13,27,4,2,0,4,1,2,6,16,0.287,0.33,0.372,0.702,87,35,3,0,1,0,0,3/D7
994,Adam Riggs\riggsad01,30,ANA,AL,24,72,61,11,15,4,1,3,5,3,1,9,9,0.246,0.343,0.492,0.835,119,30,2,0,2,0,0,3/74D
289,Wilson Delgado#\delgawi01,30,ANA,AL,19,58,50,4,16,0,0,0,4,0,0,8,8,0.32,0.414,0.32,0.734,100,16,1,0,0,0,0,/564
438,Tom Gregorio\gregoto01,26,ANA,AL,12,21,19,1,3,0,0,0,2,0,0,1,8,0.158,0.238,0.158,0.396,9,3,0,1,0,0,0,2
314,Trent Durrington\durritr01,27,ANA,AL,12,17,14,5,2,0,0,0,1,1,1,3,0,0.143,0.294,0.143,0.437,22,2,0,0,0,0,0,/45D7
1258,Barry Wesson\wessoba01,26,ANA,AL,10,11,11,2,2,0,0,1,3,1,0,0,4,0.182,0.182,0.455,0.636,62,5,0,0,0,0,0,/79D
571,Gary Johnson*\johnsga01,27,ANA,AL,5,9,8,1,3,1,0,0,0,0,1,1,1,0.375,0.444,0.5,0.944,152,4,0,0,0,0,0,/79
41,Kevin Appier\appieke01,35,ANA,AL,2,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,1
867,Ramon Ortiz\ortizra02,30,ANA,AL,2,6,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0,1
