Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
30,Garret Anderson*\anderga01,30,ANA,AL,158,678,638,93,195,56,3,29,123,6,4,30,80,0.306,0.332,0.539,0.871,127,344,11,0,0,10,11,*78D
322,Darin Erstad*\erstada01,28,ANA,AL,150,663,625,99,177,28,4,10,73,23,3,27,67,0.283,0.313,0.389,0.702,86,243,9,2,5,4,4,*8/3D
308,David Eckstein\eckstda01,27,ANA,AL,152,702,608,107,178,22,6,8,63,21,13,45,44,0.293,0.363,0.388,0.752,101,236,7,27,14,8,0,*6/D
415,Troy Glaus\glaustr01,25,ANA,AL,156,671,569,99,142,24,1,30,111,10,3,88,144,0.25,0.352,0.453,0.805,113,258,12,6,0,8,4,*5/6
1099,Scott Spiezio#\spiezsc01,29,ANA,AL,153,571,491,80,140,34,2,12,82,6,7,67,52,0.285,0.371,0.436,0.807,115,214,12,4,3,6,7,*35/794
1036,Tim Salmon\salmoti01,33,ANA,AL,138,568,483,84,138,37,1,22,88,6,3,71,102,0.286,0.38,0.503,0.883,133,243,6,7,0,7,3,*9D
587,Adam Kennedy*\kennead01,26,ANA,AL,144,509,474,65,148,32,6,7,52,17,4,19,80,0.312,0.345,0.449,0.795,110,213,5,7,5,4,1,*4/8D
384,Brad Fullmer*\fullmbr01,27,ANA,AL,130,479,429,75,124,35,6,19,59,10,3,32,44,0.289,0.357,0.531,0.888,133,228,7,15,0,3,6,D3
780,Bengie Molina\molinbe01,27,ANA,AL,122,459,428,34,105,18,0,5,47,0,0,15,34,0.245,0.274,0.322,0.596,58,138,15,4,6,6,3,*2
874,Orlando Palmeiro*\palmeor01,33,ANA,AL,110,300,263,35,79,12,1,0,31,7,2,30,22,0.3,0.368,0.354,0.722,94,93,7,0,4,3,1,978/D
405,Benji Gil\gilbe01,29,ANA,AL,61,139,130,11,37,8,1,3,20,2,1,5,33,0.285,0.307,0.431,0.737,94,56,0,0,2,2,0,463/D
1259,Shawn Wooten\wootesh01,29,ANA,AL,49,121,113,13,33,8,0,3,19,2,0,6,24,0.292,0.331,0.442,0.773,104,50,3,1,0,1,1,D3/25
831,Jose Nieves\nievejo01,27,ANA,AL,45,100,97,17,28,2,0,0,6,1,1,2,14,0.289,0.303,0.309,0.612,64,30,3,0,1,0,0,46/53D89
336,Jorge Fabregas*\fabrejo01,32,ANA,AL,35,96,88,8,17,1,0,0,8,0,0,6,6,0.193,0.245,0.205,0.449,22,18,3,0,2,0,1,2
783,Jose Molina\molinjo01,27,ANA,AL,29,81,70,5,19,3,0,0,5,0,2,5,15,0.271,0.312,0.314,0.626,68,22,2,0,4,2,0,2
844,Alex Ochoa\ochoaal01,30,ANA,AL,37,75,65,8,18,7,0,2,10,2,2,10,5,0.277,0.373,0.477,0.85,125,31,0,0,0,0,0,9/7
953,Julio Ramirez\ramirju02,24,ANA,AL,29,35,32,6,9,0,1,1,7,0,2,2,14,0.281,0.343,0.438,0.78,106,14,0,1,0,0,0,8/9D
260,Jeff DaVanon#\davanje02,28,ANA,AL,16,33,30,3,5,3,0,1,4,1,0,2,6,0.167,0.219,0.367,0.585,52,11,0,0,1,0,0,/8D97
27,Alfredo Amezaga#\amezaal01,24,ANA,AL,12,13,13,3,7,2,0,0,2,1,0,0,1,0.538,0.538,0.692,1.231,225,9,1,0,0,0,0,/6D
352,Chone Figgins#\figgich01,24,ANA,AL,15,12,12,6,2,1,0,0,1,2,1,0,5,0.167,0.167,0.25,0.417,9,3,1,0,0,0,0,/4
863,Ramon Ortiz\ortizra02,29,ANA,AL,2,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,1,0,0,0,0,1
1214,Jarrod Washburn*\washbja01,27,ANA,AL,2,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,7,1,0,0,0,0,0,1
34,Kevin Appier\appieke01,34,ANA,AL,2,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,2,0,0,1
1057,Scott Schoeneweis*\schoesc01,28,ANA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1
1063,Aaron Sele\seleaa01,32,ANA,AL,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,168,1,0,0,0,0,0,1
72,Clay Bellinger\bellicl01,33,ANA,AL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/3
340,Sal Fasano\fasansa01,30,ANA,AL,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/2
221,Dennis Cook*\cookde01,39,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
285,Brendan Donnelly\donnebr01,30,ANA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
638,Al Levine*\levinal01,34,ANA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
903,Troy Percival\percitr01,32,ANA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
938,Lou Pote\potelo01,30,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1069,Scot Shields\shielsc01,26,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1220,Ben Weber\weberbe01,32,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1256,Tony Womack*\womacto01,32,ARI,NL,153,652,590,90,160,23,5,5,57,29,12,46,80,0.271,0.325,0.353,0.678,71,208,9,4,6,6,2,*6/9
1100,Junior Spivey\spiveju01,27,ARI,NL,143,626,538,103,162,34,6,16,78,11,6,65,100,0.301,0.389,0.476,0.865,117,256,10,16,1,6,5,*4
424,Luis Gonzalez*\gonzalu01,34,ARI,NL,148,633,524,90,151,19,3,28,103,9,2,97,76,0.288,0.4,0.496,0.896,125,260,12,5,0,7,8,*7
358,Steve Finley*\finlest01,37,ARI,NL,150,577,505,82,145,24,4,25,89,16,4,65,73,0.287,0.37,0.499,0.869,117,252,10,3,1,3,7,*8
236,Craig Counsell*\counscr01,31,ARI,NL,112,491,436,63,123,22,1,2,51,7,5,45,52,0.282,0.348,0.351,0.699,78,153,10,1,4,3,3,564
740,Quinton McCracken#\mccraqu01,31,ARI,NL,123,400,349,60,108,27,8,3,40,5,4,32,68,0.309,0.367,0.458,0.825,107,160,3,2,13,4,0,98/7
434,Mark Grace*\gracema01,38,ARI,NL,124,348,298,43,75,19,0,7,48,2,0,46,30,0.252,0.351,0.386,0.736,86,115,5,1,0,3,6,3/1
767,Damian Miller\milleda02,32,ARI,NL,101,340,297,40,74,22,0,11,42,0,0,38,88,0.249,0.34,0.434,0.775,94,129,14,3,2,0,5,2
273,David Dellucci*\delluda01,28,ARI,NL,97,261,229,34,56,11,2,7,29,2,4,28,55,0.245,0.326,0.402,0.727,83,92,7,1,0,3,5,97/D8
