Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
29,Garret Anderson*\anderga01,26,ANA,AL,156,658,622,62,183,41,7,15,79,8,3,29,80,0.294,0.325,0.455,0.78,99,283,13,1,3,3,8,*97
317,Jim Edmonds*\edmonji01,28,ANA,AL,154,659,599,115,184,42,1,25,91,7,5,57,114,0.307,0.368,0.506,0.874,123,303,16,1,1,1,7,*8
302,Gary Disarcina\disarga01,30,ANA,AL,157,595,551,73,158,39,3,3,56,11,7,21,51,0.287,0.321,0.385,0.706,82,212,11,8,12,3,0,*6
332,Darin Erstad*\erstada01,24,ANA,AL,133,592,537,84,159,39,3,19,82,20,6,43,77,0.296,0.353,0.486,0.839,114,261,2,6,1,3,7,37/8D
1055,Tim Salmon\salmoti01,29,ANA,AL,136,566,463,84,139,28,1,26,88,0,1,90,100,0.3,0.41,0.533,0.943,142,247,4,3,0,10,5,*D9
351,Cecil Fielder\fieldce01,34,ANA,AL,103,439,381,48,92,16,1,17,68,0,1,52,98,0.241,0.335,0.423,0.757,95,161,17,3,0,3,1,3D
534,Dave Hollins#\hollida01,32,ANA,AL,101,418,363,60,88,16,2,11,39,11,3,44,69,0.242,0.334,0.388,0.723,86,141,5,7,2,2,2,5/3D
1252,Matt Walbeck#\walbema01,28,ANA,AL,108,380,338,41,87,15,2,6,46,1,1,30,68,0.257,0.317,0.367,0.684,77,124,9,2,5,5,0,2/D
857,Phil Nevin\nevinph01,27,ANA,AL,75,261,237,27,54,8,1,8,27,0,0,17,67,0.228,0.291,0.371,0.662,70,88,6,5,0,2,0,2/D3
66,Justin Baughman\baughju01,23,ANA,AL,63,211,196,24,50,9,1,1,20,10,4,6,36,0.255,0.277,0.327,0.603,56,64,4,1,5,3,0,4/6D
739,Norberto Martin\martino01,31,ANA,AL,79,206,195,20,42,2,0,1,13,3,1,6,29,0.215,0.236,0.241,0.477,24,47,9,0,3,2,0,4D/576
1238,Randy Velarde\velarra01,35,ANA,AL,51,224,188,29,49,13,1,4,26,7,2,34,42,0.261,0.375,0.404,0.779,102,76,8,1,0,1,0,4
407,Troy Glaus\glaustr01,21,ANA,AL,48,182,165,19,36,9,0,1,23,1,0,15,51,0.218,0.28,0.291,0.571,48,48,3,0,0,2,0,5
910,Orlando Palmeiro*\palmeor01,29,ANA,AL,75,192,165,28,53,7,2,0,21,5,4,20,11,0.321,0.395,0.388,0.782,104,64,2,0,7,0,1,7/89D
1092,Craig Shipley\shiplcr01,35,ANA,AL,77,162,147,18,38,7,1,2,17,0,4,5,22,0.259,0.304,0.361,0.664,71,53,3,5,4,1,0,54/36D79
753,Damon Mashore\mashoda01,28,ANA,AL,43,111,98,13,23,6,0,2,11,1,0,9,22,0.235,0.318,0.357,0.675,75,35,3,3,1,0,0,9/8D7
979,Chris Pritchett*\pritcch01,28,ANA,AL,31,84,80,12,23,2,1,2,8,2,0,4,16,0.288,0.321,0.413,0.734,88,33,3,0,0,0,0,3
570,Gregg Jefferies#\jeffegr01,30,ANA,AL,19,72,72,7,25,6,0,1,10,1,0,0,5,0.347,0.347,0.472,0.819,109,34,2,0,0,0,0,7/3
430,Todd Greene\greento02,27,ANA,AL,29,73,71,3,18,4,0,1,7,0,0,2,20,0.254,0.274,0.352,0.626,61,25,0,0,0,0,0,7/D3
122,Frank Bolick#\bolicfr01,32,ANA,AL,21,56,45,3,7,2,0,1,2,0,0,11,8,0.156,0.321,0.267,0.588,55,12,1,0,0,0,0,/D539
1299,Reggie Williams#\willire02,32,ANA,AL,29,45,36,7,13,1,0,1,5,3,3,7,11,0.361,0.477,0.472,0.949,147,17,0,1,1,0,0,7/8D9
385,Carlos Garcia\garcica01,30,ANA,AL,19,40,35,4,5,1,0,0,0,2,0,3,11,0.143,0.231,0.171,0.402,7,6,0,1,1,0,0,4/6D
584,Mark Johnson*\johnsma01,30,ANA,AL,10,14,14,1,1,0,0,0,0,0,0,0,6,0.071,0.071,0.071,0.143,-63,1,1,0,0,0,0,/3D
876,Charlie O'Brien\o'brich01,38,ANA,AL,5,12,11,1,2,0,0,0,0,0,0,1,2,0.182,0.25,0.182,0.432,15,2,0,0,0,0,0,/2
641,Chad Kreuter#\kreutch01,33,ANA,AL,3,8,7,1,1,1,0,0,0,0,0,1,4,0.143,0.25,0.286,0.536,38,2,0,0,0,0,0,/2
299,Jason Dickson*\dicksja01,25,ANA,AL,2,5,4,1,0,0,0,0,0,0,0,1,3,0,0.2,0,0.2,-42,0,0,0,0,0,0,1
354,Chuck Finley*\finlech01,35,ANA,AL,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,1
883,Omar Olivares\olivaom01,30,ANA,AL,4,3,2,1,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,-3,0,0,0,0,0,0,1
521,Ken Hill\hillke01,32,ANA,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1
818,Bengie Molina\molinbe01,23,ANA,AL,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,/2
1124,Steve Sparks\sparkst01,32,ANA,AL,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,46,0,0,0,1,0,0,1
1260,Jarrod Washburn*\washbja01,23,ANA,AL,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,2,0,0,1
184,Greg Cadaret*\cadargr01,36,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
290,Rich DeLucia\delucri01,33,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
486,Pep Harris\harripe01,25,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
489,Shigetoshi Hasegawa\hasegsh01,29,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
536,Mike Holtz*\holtzmi01,25,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
925,Troy Percival\percitr01,28,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1282,Devon White#\whitede03,35,ARI,NL,146,627,563,84,157,32,1,22,85,22,8,42,102,0.279,0.335,0.456,0.792,106,257,9,9,7,6,4,*8
666,Travis Lee*\leetr01,23,ARI,NL,146,630,562,71,151,20,2,22,72,8,1,67,123,0.269,0.346,0.429,0.775,103,241,13,0,0,1,5,*3
82,Jay Bell\bellja01,32,ARI,NL,155,645,549,79,138,29,5,20,67,3,5,81,129,0.251,0.353,0.432,0.785,106,237,14,7,5,3,3,*64
1297,Matt Williams\willima04,32,ARI,NL,135,557,510,72,136,26,1,20,71,5,1,43,102,0.267,0.327,0.439,0.766,100,224,19,3,0,1,8,*5
369,Andy Fox*\foxan01,27,ARI,NL,139,564,502,67,139,21,6,9,44,14,7,43,97,0.277,0.355,0.396,0.751,98,199,2,18,0,1,0,49537/8
289,David Dellucci*\delluda01,24,ARI,NL,124,453,416,43,108,19,12,5,51,3,5,33,103,0.26,0.318,0.399,0.717,88,166,6,3,0,1,2,*789
388,Karim Garcia*\garcika01,22,ARI,NL,113,354,333,39,74,10,8,9,43,5,4,18,78,0.222,0.26,0.381,0.641,66,127,6,0,0,3,1,9/8
65,Tony Batista\batisto01,24,ARI,NL,106,318,293,46,80,16,1,18,41,1,1,18,52,0.273,0.318,0.519,0.836,116,152,7,3,0,4,0,465
1160,Kelly Stinnett\stinnke01,28,ARI,NL,92,318,274,35,71,14,1,11,34,0,1,35,74,0.259,0.353,0.438,0.791,107,120,9,6,1,2,3,2/D
143,Brent Brede*\bredebr01,26,ARI,NL,98,238,212,23,48,9,3,2,17,1,0,24,43,0.226,0.311,0.325,0.636,68,69,6,2,0,0,2,973/D
93,Yamil Benitez\benitya01,25,ARI,NL,91,225,206,17,41,7,1,9,30,2,2,14,46,0.199,0.262,0.374,0.636,65,77,6,4,0,1,1,79/D
802,Damian Miller\milleda02,28,ARI,NL,57,183,168,17,48,14,2,3,14,1,0,11,43,0.286,0.337,0.446,0.783,104,75,2,2,2,0,2,2/D93
341,Jorge Fabregas*\fabrejo01,28,ARI,NL,50,167,151,8,30,4,0,1,15,0,0,13,26,0.199,0.263,0.245,0.509,35,37,3,1,0,2,1,2
1147,Andy Stankiewicz\stankan01,33,ARI,NL,77,155,145,9,30,5,0,0,8,1,0,7,33,0.207,0.252,0.241,0.493,31,35,3,2,0,1,0,4
628,Danny Klassen\klassda01,22,ARI,NL,29,118,108,12,21,2,1,3,8,1,1,9,33,0.194,0.263,0.315,0.578,52,34,5,1,0,0,0,4
401,Bernard Gilkey\gilkebe01,31,ARI,NL,29,114,101,8,25,0,0,1,5,4,2,11,14,0.248,0.327,0.277,0.605,62,28,5,1,1,0,0,7
28,Brian Anderson#\anderbr02,26,ARI,NL,33,75,66,6,7,0,0,0,0,1,0,3,19,0.106,0.145,0.106,0.251,-32,7,1,0,6,0,0,1
91,Andy Benes\benesan01,30,ARI,NL,33,82,65,8,11,3,0,1,3,0,0,6,28,0.169,0.25,0.262,0.512,35,17,0,1,10,0,0,1
111,Willie Blair\blairwi01,32,ARI,NL,23,53,48,3,4,0,0,0,0,0,0,1,26,0.083,0.102,0.083,0.185,-50,4,0,0,4,0,0,1
274,Omar Daal*\daalom01,26,ARI,NL,33,56,46,3,5,0,0,0,1,0,0,5,17,0.109,0.196,0.109,0.305,-17,5,1,0,5,0,0,1
597,Chris Jones\jonesch05,32,ARI,NL,20,34,31,3,6,1,0,0,3,0,0,3,9,0.194,0.265,0.226,0.491,31,7,2,0,0,0,0,/97
1197,Amaury Telemaco\telemam01,24,ARI,NL,26,32,29,2,2,1,1,0,2,0,0,1,13,0.069,0.097,0.172,0.269,-31,5,2,0,1,1,0,1
376,Hanley Frias#\friasha01,24,ARI,NL,15,23,23,4,3,0,1,1,2,0,0,0,5,0.13,0.13,0.348,0.478,20,8,1,0,0,0,0,/456
1172,Jeff Suppan\suppaje01,23,ARI,NL,13,24,22,1,6,0,0,0,1,1,0,0,6,0.273,0.304,0.273,0.577,54,6,0,1,1,0,0,1
796,Hensley Meulens\meulehe01,31,ARI,NL,7,15,15,1,1,0,0,1,1,0,0,0,6,0.067,0.067,0.267,0.333,-18,4,0,0,0,0,0,/9
1029,Mike Robertson*\robermi01,27,ARI,NL,11,13,13,0,2,0,0,0,0,0,0,0,2,0.154,0.154,0.154,0.308,-18,2,0,0,0,0,0,/D
1120,Clint Sodowsky*\sodowcl01,25,ARI,NL,45,11,10,2,3,1,0,0,0,0,0,0,2,0.3,0.3,0.4,0.7,83,4,1,0,1,0,0,1
1316,Bob Wolcott\wolcobo01,24,ARI,NL,5,9,9,1,2,0,0,0,0,0,0,0,1,0.222,0.222,0.222,0.444,18,2,0,0,0,0,0,/1
8,Joel Adamson*\adamsjo02,26,ARI,NL,5,8,7,0,3,1,0,0,1,0,0,0,0,0.429,0.429,0.571,1,161,4,1,0,1,0,0,/1
297,Edwin Diaz\diazed03,23,ARI,NL,3,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,/4
218,Bobby Chouinard\chouibo01,26,ARI,NL,25,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,1,0,0,0,0,1
890,Gregg Olson\olsongr01,31,ARI,NL,62,2,2,1,1,0,0,1,2,0,0,0,1,0.5,0.5,2,2.5,518,4,0,0,0,0,0,1
56,Willie Banks\bankswi01,29,ARI,NL,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
149,Scott Brow\browsc01,29,ARI,NL,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
1142,Russ Springer\sprinru01,29,ARI,NL,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
256,Bryan Corey\coreybr01,24,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
329,Alan Embree*\embreal01,28,ARI,NL,35,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,,0,0,0,0,0,0,1
362,Ben Ford\fordbe01,22,ARI,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
735,Barry Manuel\manueba01,32,ARI,NL,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
798,Chris Michalak*\michach01,27,ARI,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
871,Vladimir Nunez\nunezvl01,23,ARI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
953,Ricky Pickett*\pickeri01,28,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
1033,Felix Rodriguez\rodrife01,25,ARI,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1107,Aaron Small\smallaa01,26,ARI,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1218,Efrain Valdez*\valdeef01,31,ARI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
1266,Neil Weber*\webbene01,25,ARI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
595,Chipper Jones#\jonesch06,26,ATL,NL,160,707,601,123,188,29,5,34,107,16,6,96,93,0.313,0.404,0.547,0.951,148,329,17,1,1,8,1,*5
592,Andruw Jones\jonesan01,21,ATL,NL,159,631,582,89,158,33,8,31,90,27,4,40,129,0.271,0.321,0.515,0.836,116,300,10,4,1,4,8,*8
382,Andres Galarraga\galaran01,37,ATL,NL,153,648,555,103,169,27,1,44,121,7,6,63,146,0.305,0.397,0.595,0.991,157,330,8,25,0,5,11,*3/D
699,Javy Lopez\lopezja01,27,ATL,NL,133,534,489,73,139,21,1,34,106,5,3,30,85,0.284,0.328,0.54,0.868,124,264,22,6,1,8,1,*2/D
629,Ryan Klesko*\kleskry01,27,ATL,NL,129,491,427,69,117,29,1,18,70,5,3,56,66,0.274,0.359,0.473,0.832,117,202,9,3,0,4,5,*7/3
1213,Michael Tucker*\tuckemi01,27,ATL,NL,130,469,414,54,101,27,3,13,46,8,3,49,112,0.244,0.327,0.418,0.745,95,173,4,3,1,2,10,*9
692,Keith Lockhart*\lockhke01,33,ATL,NL,109,401,366,50,94,21,0,9,37,2,2,29,37,0.257,0.311,0.388,0.699,83,142,2,1,2,3,0,4/D5
1269,Walt Weiss#\weisswa01,34,ATL,NL,96,424,347,64,97,18,2,0,27,7,1,59,53,0.28,0.386,0.343,0.729,94,119,4,3,12,3,0,6
424,Tony Graffanino\graffto01,26,ATL,NL,105,317,289,32,61,14,1,5,22,1,4,24,68,0.211,0.275,0.318,0.594,56,92,7,2,1,1,0,4/65
1296,Gerald Williams\willige02,31,ATL,NL,129,289,266,46,81,19,2,10,44,11,5,17,48,0.305,0.352,0.504,0.856,122,134,5,3,2,1,1,*978
454,Ozzie Guillen*\guilloz01,34,ATL,NL,83,295,264,35,73,15,1,1,22,1,4,24,25,0.277,0.337,0.352,0.689,82,93,2,1,4,2,0,6/435
929,Eddie Perez\perezed02,30,ATL,NL,61,167,149,18,50,12,0,6,32,1,1,15,28,0.336,0.404,0.537,0.941,145,80,3,2,1,0,0,2/3D
67,Danny Bautista\bautida01,26,ATL,NL,82,156,144,17,36,11,0,3,17,1,0,7,21,0.25,0.281,0.389,0.67,74,56,4,0,3,2,0,7/98D
976,Curtis Pride*\pridecu01,29,ATL,NL,70,121,107,19,27,6,1,3,9,4,0,9,29,0.252,0.325,0.411,0.736,93,44,2,3,1,1,0,9/7D
722,Greg Maddux\maddugr01,32,ATL,NL,31,85,75,4,18,3,0,0,4,0,1,4,18,0.24,0.278,0.28,0.558,48,21,0,0,6,0,0,1
408,Tom Glavine*\glavito02,32,ATL,NL,32,86,71,3,17,3,0,0,7,0,0,1,15,0.239,0.25,0.282,0.532,40,20,0,0,14,0,0,1
853,Denny Neagle*\neaglde01,29,ATL,NL,30,76,63,2,11,1,0,0,3,0,0,4,12,0.175,0.224,0.19,0.414,11,12,1,0,9,0,0,1
1114,John Smoltz\smoltjo01,31,ATL,NL,25,68,51,4,10,1,0,0,5,0,0,8,16,0.196,0.317,0.216,0.532,44,11,1,1,8,0,0,1
807,Kevin Millwood\millwke01,23,ATL,NL,30,63,50,1,4,1,0,0,1,0,0,6,22,0.08,0.179,0.1,0.279,-24,5,0,0,6,0,0,1
240,Greg Colbrunn\colbrgr01,28,ATL,NL,28,49,44,6,13,3,0,1,10,1,0,2,11,0.295,0.367,0.432,0.799,110,19,0,3,0,0,0,/39
728,Marty Malloy*\malloma01,26,ATL,NL,11,30,28,3,5,1,0,1,1,0,0,2,2,0.179,0.233,0.321,0.555,44,9,0,0,0,0,0,4
85,Rafael Belliard\bellira01,36,ATL,NL,7,20,20,1,5,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,33,5,2,0,0,0,0,/6
1102,Randall Simon*\simonra01,23,ATL,NL,7,17,16,2,3,0,0,0,4,0,0,0,1,0.188,0.176,0.188,0.364,-4,3,0,0,0,1,0,/3
528,Ray Holbert\holbera01,27,ATL,NL,8,18,15,2,2,0,0,0,1,0,0,2,4,0.133,0.222,0.133,0.356,-3,2,0,0,0,1,0,/6
497,Wes Helms\helmswe01,22,ATL,NL,7,13,13,2,4,1,0,1,2,0,0,0,4,0.308,0.308,0.615,0.923,136,8,0,0,0,0,0,/5
741,Dennis Martinez\martide01,44,ATL,NL,51,13,11,0,1,1,0,0,3,0,0,1,7,0.091,0.167,0.182,0.348,-8,2,1,0,1,0,0,1
215,Bruce Chen*\chenbr01,21,ATL,NL,4,9,7,0,1,0,0,0,1,0,0,0,4,0.143,0.143,0.143,0.286,-24,1,0,0,2,0,0,/1
532,Damon Hollins\hollida02,24,ATL,NL,3,6,6,0,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-12,1,0,0,0,0,0,/79
696,George Lombard*\lombage01,22,ATL,NL,6,6,6,2,2,0,0,1,1,1,0,0,1,0.333,0.333,0.833,1.167,195,5,0,0,0,0,0,/9
292,Mark DeRosa\derosma01,23,ATL,NL,5,3,3,2,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,77,1,0,0,0,0,0,/6
319,Brian Edmondson\edmonbr01,25,ATL,NL,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1
212,Norm Charlton#\charlno01,35,ATL,NL,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1
328,Alan Embree*\embreal01,28,ATL,NL,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
1074,Rudy Seanez\seaneru01,29,ATL,NL,34,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
175,Adam Butler*\butlead01,24,ATL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
178,Paul Byrd\byrdpa01,27,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
207,Mike Cather\cathemi01,27,ATL,NL,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
683,Kerry Ligtenberg\ligteke01,27,ATL,NL,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
932,Odalis Perez*\perezod01,20,ATL,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1031,John Rocker\rockejo01,23,ATL,NL,45,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1143,Russ Springer\sprinru01,29,ATL,NL,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1315,Mark Wohlers\wohlema01,28,ATL,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
911,Rafael Palmeiro*\palmera01,33,BAL,AL,162,709,619,98,183,36,1,43,121,11,7,79,91,0.296,0.379,0.565,0.945,144,350,14,7,0,4,8,*3/D
1020,Cal Ripken Jr.\ripkeca01,37,BAL,AL,161,659,601,65,163,27,1,14,61,0,2,51,68,0.271,0.331,0.389,0.721,89,234,9,4,1,2,0,*5
21,Roberto Alomar#\alomaro01,30,BAL,AL,147,657,588,86,166,36,1,14,56,18,5,59,70,0.282,0.347,0.418,0.765,100,246,11,2,3,5,3,*4/D
1173,B.J. Surhoff*\surhob.01,33,BAL,AL,162,634,573,79,160,34,1,22,92,9,7,49,81,0.279,0.332,0.457,0.789,105,262,13,1,1,10,9,*7/3
27,Brady Anderson*\anderbr01,34,BAL,AL,133,574,479,84,113,28,3,18,51,21,7,75,78,0.236,0.356,0.42,0.776,103,201,7,15,4,1,1,*8/D
132,Mike Bordick\bordimi01,32,BAL,AL,151,533,465,59,121,29,1,13,51,6,7,39,65,0.26,0.328,0.411,0.739,93,191,13,10,15,4,0,*6
282,Eric Davis\daviser01,36,BAL,AL,131,508,452,81,148,29,1,28,89,7,6,44,108,0.327,0.388,0.582,0.97,151,263,13,5,0,7,0,9D8
1267,Lenny Webster\webstle01,33,BAL,AL,108,328,309,37,88,16,0,10,46,0,0,15,38,0.285,0.317,0.434,0.751,95,134,10,0,3,1,0,2/D
50,Harold Baines*\baineha01,39,BAL,AL,104,328,293,40,88,17,0,9,57,0,0,32,40,0.3,0.369,0.451,0.819,114,132,17,1,0,2,4,D
194,Joe Carter\cartejo01,38,BAL,AL,85,303,283,36,70,15,1,11,34,3,1,18,48,0.247,0.297,0.424,0.721,87,120,7,2,0,0,4,9D/73
526,Chris Hoiles\hoilech01,33,BAL,AL,97,318,267,36,70,12,0,15,56,0,1,38,50,0.262,0.358,0.476,0.833,117,127,5,4,5,4,0,2/3D
472,Jeffrey Hammonds\hammoje01,27,BAL,AL,63,203,171,36,46,12,1,6,28,7,2,26,38,0.269,0.369,0.456,0.826,116,78,2,3,0,3,1,98/D7
997,Jeff Reboulet\rebouje01,34,BAL,AL,79,155,126,20,31,6,0,1,8,0,1,19,34,0.246,0.351,0.317,0.669,78,40,3,2,7,1,0,465
72,Rich Becker*\beckeri01,26,BAL,AL,79,139,113,22,23,1,0,3,11,2,0,22,34,0.204,0.343,0.292,0.635,70,33,6,2,2,0,0,98/7D
433,Willie Greene*\greenwi01,26,BAL,AL,24,53,40,8,6,1,0,1,5,1,0,13,10,0.15,0.358,0.25,0.608,65,10,2,0,0,0,0,9/D7
837,Lyle Mouton\moutoly01,29,BAL,AL,18,43,39,5,12,2,0,2,7,0,0,4,8,0.308,0.372,0.513,0.885,130,20,0,0,0,0,0,9/7D
237,Danny Clyburn\clybuda01,24,BAL,AL,11,26,25,6,7,0,0,1,3,0,0,1,10,0.28,0.308,0.4,0.708,84,10,0,0,0,0,0,/79D
429,Charlie Greene\greench02,27,BAL,AL,13,22,21,1,4,1,0,0,0,0,0,0,8,0.19,0.19,0.238,0.429,12,5,1,0,1,0,0,2
952,Calvin Pickering*\pickeca01,21,BAL,AL,9,24,21,4,5,0,0,2,3,1,0,3,4,0.238,0.333,0.524,0.857,121,11,2,0,0,0,0,/3D
453,Ozzie Guillen*\guilloz01,34,BAL,AL,12,18,16,2,1,0,0,0,0,0,1,1,2,0.063,0.118,0.063,0.18,-51,1,1,0,1,0,0,/65
809,Ryan Minor\minorry01,24,BAL,AL,9,14,14,3,6,1,0,0,1,0,0,0,3,0.429,0.429,0.5,0.929,144,7,0,0,0,0,0,/53D
1191,Jesus Tavarez#\tavarje01,27,BAL,AL,8,13,11,2,2,0,0,1,1,0,1,2,3,0.182,0.308,0.455,0.762,97,5,0,0,0,0,0,/89
