Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
24,Garret Anderson*\anderga01,25,ANA,AL,154,662,624,76,189,36,3,8,92,10,4,30,70,0.303,0.334,0.409,0.743,92,255,20,2,1,5,6,*78/D9
994,Tim Salmon\salmoti01,28,ANA,AL,157,695,582,95,172,28,1,33,129,9,12,95,142,0.296,0.394,0.517,0.911,134,301,7,7,0,11,5,*9/D
504,Dave Hollins#\hollida01,31,ANA,AL,149,648,572,101,165,29,2,16,85,16,6,62,124,0.288,0.363,0.43,0.793,105,246,12,8,1,5,2,*53
295,Gary Disarcina\disarga01,29,ANA,AL,154,583,549,52,135,28,2,4,47,7,8,17,29,0.246,0.271,0.326,0.597,54,179,18,4,8,5,0,*6
325,Darin Erstad*\erstada01,23,ANA,AL,139,605,539,99,161,34,4,16,77,23,8,51,86,0.299,0.36,0.466,0.826,112,251,5,4,5,6,4,*3/D8
313,Jim Edmonds*\edmonji01,27,ANA,AL,133,571,502,82,146,27,0,26,80,5,7,60,80,0.291,0.368,0.5,0.868,123,251,8,4,0,5,5,*83/D
897,Tony Phillips#\phillto02,38,ANA,AL,105,487,405,73,107,28,2,6,48,9,9,73,89,0.264,0.376,0.388,0.764,99,157,8,2,3,4,5,47D/985
13,Luis Alicea#\alicelu01,31,ANA,AL,128,471,388,59,98,16,7,5,37,22,8,69,65,0.253,0.375,0.369,0.743,94,143,4,8,4,2,3,45/D
652,Jim Leyritz\leyriji01,33,ANA,AL,84,342,294,47,81,7,0,11,50,1,1,37,56,0.276,0.357,0.412,0.768,99,121,11,3,3,5,2,23D
623,Chad Kreuter#\kreutch01,32,ANA,AL,70,240,218,19,51,7,1,4,18,0,2,21,57,0.234,0.301,0.33,0.632,64,72,7,0,1,0,0,2/D
512,Jack Howell*\howelja02,35,ANA,AL,77,191,174,25,45,7,0,14,34,1,0,13,36,0.259,0.305,0.54,0.845,114,94,4,0,1,3,2,5D3
799,Eddie Murray#\murraed02,41,ANA,AL,46,176,160,13,35,7,0,3,15,1,0,13,24,0.219,0.273,0.319,0.591,53,51,8,0,0,3,0,D
